Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
MPP7	2055	1365	5144	461	2775	2981	2491	2821	715	3435	1251	4152	523	685	2059	907	1028	1417	762	2250
ITGB1	2996	2322	9256	7438	8085	12296	9430	2450	19242	3296	5710	10332	9729	2147	5771	1191	3647	4960	6495	4331
FRMPD2B	0	0	0	0	1	0	0	0	1	0	0	0	0	0	10	0	0	0	0	3
FXYD4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TRIM48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDH15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
CTF1	46	18	98	0	140	14	52	101	76	123	9	15	7	17	44	17	36	103	12	52
CWC15	1476	668	3181	1267	693	1578	1384	1031	1472	1133	1691	2043	764	703	1405	457	1357	2625	1448	1106
FCGR1A	3958	4270	361	258	212	551	330	208	7208	258	161	291	75	255	425	3370	3541	221	5942	174
ARID5B	1426	2254	933	1770	1137	2682	579	735	5948	159	2307	1768	1957	1022	1109	1756	954	399	1749	70
KLHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
DCUN1D2	483	331	1349	888	611	912	538	616	439	786	2614	1468	806	403	826	193	725	508	440	378
TMCO3	3191	4521	6893	7593	3305	6203	3222	3000	8272	2575	5135	7077	1887	3585	3275	1902	6593	9425	4843	1893
TMEM218	370	169	366	12	383	101	554	250	180	491	57	109	36	67	101	138	224	219	150	412
TIRAP	329	314	279	65	302	234	331	302	401	552	438	370	200	66	226	193	193	198	175	286
EEF1AKMT1	85	8	53	3	39	6	55	16	35	96	14	5	3	6	44	21	17	15	8	87
LATS2	1381	2135	8089	3362	1560	4497	2304	951	5139	2150	4063	6042	2323	2242	2619	1495	3640	6584	3298	878
SAP18	3833	2639	9518	2250	3343	2984	4126	3047	5688	3667	2389	3521	1497	2148	4668	1577	3644	5275	3988	2755
ADGRL3	0	4	167	0	11	0	4	5	1	23	37	0	0	29	0	2	1	0	0	0
KIAA1328	82	17	408	51	181	139	329	256	53	240	114	107	53	114	166	44	54	175	45	173
FAM124A	19	5	178	11	18	83	5	6	48	13	109	99	13	19	16	17	3	11	4	15
MIA2	2922	2500	3101	1631	1395	1653	2625	1479	4368	2832	2985	2787	1560	1462	2011	1646	2285	2167	2026	1321
HNMT	86	23	183	73	2	470	691	11	121	28	134	479	379	18	9	65	163	129	268	48
LYPD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
LYPD6B	4	0	4	1	1	2	0	8	3	3	26	2	0	3	0	0	3	4	1	10
PDCD4	2285	732	7859	9588	3026	10579	4047	4285	1931	4720	16186	6735	9414	5533	8378	813	3927	11623	3270	2439
ADRA2A	16	7	61	2	9	14	1	4	5	67	20	5	5	3	11	5	16	7	7	28
GPM6A	0	8	0	0	0	2	0	3	6	0	0	0	3	2	1	1	1	0	17	1
WDR17	14	3	93	5	307	33	58	21	4	76	7	13	3	14	1	2	9	37	16	18
SPATA4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
VEGFC	4	5	57	1	0	5	0	4	46	0	14	1	0	2	0	1	12	0	1	9
CCDC102B	17	5	17	1	11	9	50	22	14	21	1	4	1	6	19	7	6	6	3	24
CD226	225	108	370	239	123	519	104	204	1280	101	689	348	1000	171	187	79	328	161	233	65
CNDP1	7	0	3	45	4	14	4	1	5	2	22	9	11	4	18	0	2	12	1	0
FSIP1	6	0	31	12	13	3	27	9	5	25	4	17	1	6	9	3	4	14	1	14
DLG2	11	8	21	6	7	11	12	16	14	29	8	6	5	8	13	7	4	5	15	16
CCDC83	0	3	0	0	1	0	0	1	1	0	1	1	4	0	0	0	1	0	0	0
RGS18	5199	6596	1140	990	1376	1322	1411	1509	16480	4773	3650	1501	1046	987	2347	2759	2248	1688	2143	2640
PRSS23	91	11	26	135	49	32	35	52	64	46	165	30	73	44	150	34	42	46	90	39
MTMR12	788	410	1459	992	1483	1407	2151	918	1569	1244	1304	1460	693	623	664	378	703	882	890	814
PPP1R1C	1	0	4	0	0	2	1	1	0	1	5	0	0	0	11	0	1	0	3	0
AL136372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CCT5	5023	2020	3440	574	3538	1281	4657	1378	3717	5152	1293	1662	976	698	1880	1722	2132	2086	1389	4159
ATPSCKMT	189	55	92	0	217	16	109	52	187	264	33	14	17	29	56	71	112	32	28	121
DOCK1	82	69	712	6	126	40	378	135	74	383	16	50	14	49	178	88	28	74	16	239
DIXDC1	95	30	87	6	195	19	30	61	392	49	17	9	16	8	21	36	26	30	11	130
DLAT	371	50	560	166	505	222	715	204	166	823	231	247	114	140	503	126	159	293	73	502
PIH1D2	3	1	7	2	4	0	4	5	6	8	0	1	0	0	3	2	4	0	2	10
NKAPD1	761	264	1922	325	711	691	1090	661	1075	1014	904	968	484	221	1245	218	376	789	377	818
TIMM8B	778	251	197	97	452	138	284	214	543	469	145	115	91	63	253	149	410	320	260	571
IL18	1069	399	2291	65	1601	377	1703	1423	832	1667	691	868	108	288	2089	490	256	1146	143	1673
TEX12	3	1	16	5	2	5	2	5	4	3	9	13	6	2	10	1	7	7	3	1
PTS	82	111	481	347	329	438	290	213	206	134	350	299	211	310	230	113	583	918	469	116
PIP4K2A	5516	6857	6420	676	7305	4646	9410	3818	12553	5300	6826	2318	4019	1273	4428	4760	5438	1527	8915	4419
C2orf50	4	0	9	2	6	10	5	5	4	4	2	1	3	1	0	2	0	1	1	2
FREM2	0	4	0	0	1	0	1	0	0	9	0	0	0	1	0	0	0	0	0	0
FOXO1	618	1065	2492	968	1119	1842	1079	554	1764	958	1791	2441	1164	1276	1039	515	1179	1677	1357	320
CRIM1	154	68	256	35	168	101	554	291	110	356	301	46	77	97	273	49	81	91	91	192
SEC24D	1324	918	2398	576	1400	1163	2222	564	4070	2013	2328	1121	960	743	1780	929	951	1093	923	857
ABCB9	25	5	48	31	72	30	43	23	18	47	22	31	12	14	25	10	13	30	7	39
RILPL2	5798	6770	5731	31276	3969	12472	10148	4509	10528	5748	23464	11911	13464	9819	10162	4466	7708	16115	6533	3911
DHX37	451	107	1617	574	473	845	986	619	218	877	526	1079	376	557	823	151	398	1126	296	519
UBC	20946	27198	55883	96086	24813	79981	34252	56907	54714	26046	39688	52777	22579	89621	31146	25111	78877	109060	94178	13816
ITPR1	480	334	1173	1773	701	1713	2132	465	409	1485	2609	858	974	596	605	210	440	420	500	406
TKTL2	0	0	8	1	0	9	8	0	0	0	1	9	0	1	0	0	5	3	11	0
PRSS53	31	33	109	127	113	86	85	73	41	76	161	144	76	37	45	18	64	23	41	36
SLC7A11	28	12	197	496	26	462	16	62	55	40	104	32	1150	734	232	30	36	41	50	4
NOCT	254	137	5223	1608	523	727	553	825	81	689	466	1860	246	813	947	211	398	3184	318	411
ENKUR	0	5	30	53	0	68	2	5	34	2	179	28	40	15	7	19	66	0	51	5
GPR158	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
LYZL2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
