symbol	base_avg	l2fc	l2fc_se	test_stat	pval	padj
SSC5D	2097.8722872101857	-3.1159132634565894	0.1753838413546202	-17.76625052450709	1.2903225521673789e-70	1.0738679845859062e-69
NHLH2	3.892591456101044	2.37832963421189	0.4163552696528819	5.7122601959492885	1.114854537825353e-8	1.7567140767557218e-8
RHBDL1	98.41871801171662	0.5362788395491924	0.16296483270764356	3.2907642135973503	9.991562279192438e-4	0.0012740857072771183
EIF2B2	1243.442277686919	0.48988957511182146	0.04688901655308173	10.447853487334957	1.4987898529705393e-25	3.9912731986561714e-25
TARDBP	7823.915092746871	-0.05179291707475202	0.035844259597443966	-1.4449431417030956	0.14847385703351898	0.16422369006639853
EMC7	1873.664807514283	0.35489922001124563	0.05748172586078832	6.174122552804966	6.653192028162231e-10	1.0934764287249512e-9
DDX58	1482.3338722505323	1.1078183433153035	0.10867241346011729	10.194108219763354	2.1066903336915653e-24	5.435649117646453e-24
C1QTNF6	1253.1540687351985	0.47829654542152267	0.13276202803372178	3.602660734438574	3.14976512450514e-4	4.117753902139844e-4
C8orf59	1407.1425379246018	0.5779911102453567	0.06161138957782864	9.381238017935429	6.520257375177551e-21	1.524642731767577e-20
NME3	1893.7071257224125	-0.37265172341632835	0.11193804191521237	-3.329089173264206	8.713050258057808e-4	0.0011145013454028681
TNC	11143.405653616821	-0.9523339000928205	0.2036031721503715	-4.677402075982748	2.9053223804702077e-6	4.160649139543056e-6
NBPF20	309.22989826690423	-1.1512673051608737	0.08671783752096598	-13.276014924640263	3.1892055575754208e-40	1.2570444586376463e-39
CXorf40B	1202.7385157180759	0.38240862448740104	0.060749438163327805	6.294850389550549	3.076964844930358e-10	5.11971507534588e-10
WDR82	6998.741735081697	0.2387704845516649	0.06163978609804857	3.8736423285418256	1.0722074029475091e-4	1.433217336747709e-4
MYO1E	2595.365746380292	-0.23988557294710317	0.0923061481422976	-2.5988038475757826	0.009354921224294824	0.011240899117317769
STC2	1794.4360933505661	3.4067333568985014	0.17602108729838617	19.35412062944197	1.8817859358644018e-83	2.1378360823035594e-82
POTEE	4.486725719505472	3.3617510143370577	0.4612426543775647	7.28846515479722	3.13505951360401e-13	5.789839653432161e-13
CDC23	1436.8173315729618	0.4267985822059111	0.041645800159464355	10.248298281499522	1.2044532509153912e-24	3.1302672011685926e-24
SNX27	2220.8000794294853	-0.09812890114632185	0.0620357404120766	-1.5818123632359988	0.11369241180759379	0.12685863637301192
SLC6A3	26.09615554999122	-1.948818714173682	0.292233171249871	-6.668711514981864	2.5805893594859648e-11	4.4764922792957126e-11
GRAP2	81.47160507328047	-0.4535872724263584	0.1483129943415933	-3.0583110700446094	0.0022258838619391144	0.002785694344151297
TMC3	9.923827696447567	-0.16326049193591485	0.26448790934614463	-0.617270151741606	0.5370565510088556	0.5597642905126482
TOMM6	3832.8691133616494	1.1573054829875686	0.062382495995526845	18.551766236967396	7.891575552082723e-77	7.668819241640967e-76
CCT5	9763.15598957324	1.599812462768125	0.07271259413286345	22.001862013682	2.763962315378115e-107	5.207327963437708e-106
RGS17	98.0942528080423	-0.6679819847617758	0.14703704450716973	-4.542950295285649	5.547233483013961e-6	7.86154171866289e-6
YKT6	4087.003873601058	0.9879880355946614	0.06068915763957273	16.27948177271187	1.3803290081364222e-59	8.890063611863367e-59
RPL36A	19445.30542336514	0.47158306579206866	0.08524215156678563	5.532275489580904	3.1610290950109005e-8	4.8908878450266726e-8
GGNBP2	2874.431928234626	-0.386580539806753	0.04785129078328184	-8.078790216079511	6.541244305604472e-16	1.3165941361946078e-15
NOL10	1381.703784350982	1.0541415572499209	0.05043751413234226	20.8999506693366	5.360034974358965e-97	8.165164948765297e-96
CTU2	712.8683201635281	0.2740351496709414	0.06488862117172804	4.223161853689356	2.4089869115116192e-5	3.320386654680188e-5
BARX1	95.8811071898434	3.8719860739441447	0.30726626656343703	12.60140306727992	2.0742154425608506e-36	7.459363879956691e-36
NELFCD	4371.563923170955	0.5092829706822258	0.05962308268835901	8.541708139181132	1.3225211994498362e-17	2.808674016343015e-17
KBTBD3	220.01293694554883	-0.5052858950806409	0.0673960685291729	-7.4972606875714725	6.516529901855981e-14	1.2293792451842888e-13
USP30	729.7045842208465	-0.508307215113939	0.044928538599072546	-11.313682371240802	1.12276411194928e-29	3.365324513975845e-29
NFAM1	292.5689635757979	1.7274705863192696	0.14803270268279903	11.66952001153997	1.8244970994003238e-31	5.732914941880858e-31
ZNF850	223.39102903288244	0.6004793089731179	0.12300475838650486	4.881756745428459	1.051449109314614e-6	1.532121210368247e-6
SUSD2	1358.6371932082911	0.6754232432514291	0.19531798217229343	3.458069941842971	5.440601210950079e-4	7.03605586786423e-4
UBE2U	3.8005098759936593	3.3906793140922704	0.3816445554767716	8.884390633731025	6.42720798452426e-19	1.4146407189521249e-18
ARL17B	240.2218350303567	-0.42478225102444855	0.08387917923161273	-5.064215636296485	4.100852591516589e-7	6.080066075662783e-7
